ts,mem_percent_lag_0,mem_percent_lag_1,mem_percent_lag_3,mem_percent_lag_5,mem_percent_lag_10,mem_percent_lag_20,mem_percent_roll_mean,mem_percent_roll_std,mem_percent_roll_max,mem_percent_roll_min,mem_percent_delta,mem_percent_ewma_fast,mem_percent_ewma_slow,mem_percent_trend,mem_percent_headroom,mem_percent_level_x_vol,mem_percent_slope_x_vol,mem_percent_steps_to_saturation,mem_percent_zscore_local,cpu_percent_now,disk_percent_now,hour,minute,second_of_minute,dayofweek,__target__
2026-07-17 15:22:40,71.0,71.0,71.0,70.9,70.8,72.0,70.93,0.06749485577036221,71.0,70.8,0.0,70.99356078086579,70.96028281457555,0.03327796629024249,29.0,4.792134759695717,0.0,580.0,1.0371160764926177,90.6,85.8,15.0,22.0,40.0,4.0,71.0
2026-07-17 15:22:43,71.0,71.0,71.0,70.9,70.8,72.3,70.95000000000002,0.05270462766860646,71.0,70.9,0.0,70.99678039043289,70.96750412101636,0.02927626941652761,29.0,3.7420285644710587,0.0,580.0,0.9486832980657878,91.1,85.8,15.0,22.0,43.0,4.0,71.0
2026-07-17 15:22:46,71.0,71.0,71.0,71.0,70.9,72.5,70.96000000000001,0.05163977794856089,71.0,70.9,0.0,70.99839019521644,70.97341246264975,0.024977732566696886,29.0,3.666424234347823,0.0,580.0,0.7745966692543993,95.55,85.8,15.0,22.0,46.0,4.0,71.0
2026-07-17 15:22:49,71.0,71.0,71.0,71.0,70.9,70.8,70.97,0.04830458915304835,71.0,70.9,0.0,70.99919509760822,70.97824656034979,0.02094853725843393,29.0,3.4296258298664326,0.0,580.0,0.6210590034199253,100.0,85.8,15.0,22.0,49.0,4.0,71.0
2026-07-17 15:22:52,71.0,71.0,71.0,71.0,70.9,70.7,70.98,0.04216370213454422,71.0,70.9,0.0,70.9995975488041,70.98220173119527,0.017395817608829134,29.0,2.9936228515526397,0.0,580.0,0.47434164903679693,100.0,85.8,15.0,22.0,52.0,4.0,71.0
2026-07-17 15:22:55,71.0,71.0,71.0,71.0,70.9,70.7,70.99000000000001,0.03162277660032644,71.0,70.9,0.0,70.99979877440205,70.98543778006886,0.01436099433318816,29.0,2.245217138623177,0.0,580.0,0.31622776603012387,100.0,85.8,15.0,22.0,55.0,4.0,71.1
2026-07-17 15:22:58,71.1,71.0,71.0,71.0,70.9,70.9,71.00999999999999,0.031622776600371376,71.1,71.0,0.09999999999999432,71.04989938720102,71.0062672746018,0.0436321125992265,28.900000000000006,2.248379416286405,0.003162277660036958,289.0000000000165,2.846049894269767,100.0,85.8,15.0,22.0,58.0,4.0,71.1
2026-07-17 15:23:01,71.1,71.1,71.0,71.0,71.0,70.8,71.02,0.04216370213461163,71.1,71.0,0.0,71.0749496936005,71.02330958831055,0.051640105289948224,28.900000000000006,2.997839221770887,0.0,578.0000000000001,1.8973665961444914,93.7,85.8,15.0,23.0,1.0,4.0,71.0
2026-07-17 15:23:04,71.0,71.1,71.0,71.0,71.0,70.8,71.02,0.04216370213461163,71.1,71.0,-0.09999999999999432,71.03747484680025,71.019071481345,0.01840336545525645,29.0,2.9936228515574257,-0.004216370213460923,580.0,-0.4743416490360386,90.0,85.8,15.0,23.0,4.0,4.0,70.9
2026-07-17 15:23:07,70.9,71.0,71.1,71.0,71.0,70.8,71.00999999999999,0.05676462121902183,71.1,70.9,-0.09999999999999432,70.96873742340013,70.99742212110044,-0.028684697700313677,29.099999999999994,4.024611644428648,-0.00567646212190186,581.9999999999999,-1.9378267244232787,90.9,85.8,15.0,23.0,7.0,4.0,70.9
2026-07-17 15:23:10,70.9,70.9,71.1,71.0,71.0,70.8,71.0,0.06666666666602997,71.1,70.9,0.0,70.93436871170007,70.97970900817309,-0.04534029647301452,29.099999999999994,4.726666666621525,0.0,581.9999999999999,-1.5000000000142404,92.5,85.8,15.0,23.0,10.0,4.0,70.9
2026-07-17 15:23:13,70.9,70.9,71.0,71.1,71.0,70.8,70.99,0.0737864787366746,71.1,70.9,0.0,70.91718435585004,70.96521646123253,-0.048032105382489476,29.099999999999994,5.231461342430229,0.0,581.9999999999999,-1.2197356689316559,91.4,85.8,15.0,23.0,13.0,4.0,70.9
2026-07-17 15:23:16,70.9,70.9,70.9,71.1,71.0,70.9,70.97999999999999,0.07888106377410138,71.1,70.9,0.0,70.90859217792502,70.95335892282661,-0.044766744901593825,29.099999999999994,5.592667421583789,0.0,581.9999999999999,-1.0141851056812203,76.9,85.8,15.0,23.0,16.0,4.0,70.8
2026-07-17 15:23:19,70.8,70.9,70.9,71.0,71.0,70.9,70.96,0.09660917830745774,71.1,70.8,-0.10000000000000853,70.85429608896251,70.92547548231268,-0.07117939335016388,29.200000000000003,6.839929824168008,-0.009660917830746598,584.0,-1.6561573424297036,78.8,85.8,15.0,23.0,19.0,4.0,70.8
2026-07-17 15:23:22,70.8,70.8,70.9,70.9,71.0,70.9,70.94,0.10749676997687824,71.1,70.8,0.0,70.82714804448125,70.90266175825582,-0.07551371377456917,29.200000000000003,7.610771314362979,0.0,584.0,-1.3023647131919736,77.3,85.8,15.0,23.0,22.0,4.0,70.8
2026-07-17 15:23:25,70.8,70.8,70.9,70.9,71.0,70.9,70.91999999999999,0.11352924243908565,71.1,70.8,0.0,70.81357402224063,70.88399598402748,-0.0704219617868489,29.200000000000003,8.037870364687263,0.0,584.0,-1.0569963951303258,78.6,85.8,15.0,23.0,25.0,4.0,70.8
2026-07-17 15:23:28,70.8,70.8,70.8,70.9,71.1,70.9,70.89000000000001,0.09944289260067395,71.1,70.8,0.0,70.80678701112032,70.86872398693157,-0.061936975811249795,29.200000000000003,7.040556796127715,0.0,584.0,-0.905042056262628,77.9,85.8,15.0,23.0,28.0,4.0,70.7
2026-07-17 15:23:31,70.7,70.8,70.8,70.9,71.1,71.0,70.85,0.0849836585592638,71.0,70.7,-0.09999999999999432,70.75339350556015,70.83804689839856,-0.08465339283840478,29.299999999999997,6.008344660139952,-0.008498365855925897,585.9999999999999,-1.7650452162563486,64.4,85.8,15.0,23.0,31.0,4.0,70.7
2026-07-17 15:23:34,70.7,70.7,70.8,70.8,71.0,71.0,70.82000000000001,0.07888106377396971,70.9,70.7,0.0,70.72669675278007,70.8129474623261,-0.08625070954602165,29.299999999999997,5.576891208819658,0.0,585.9999999999999,-1.52127765852473,62.4,85.8,15.0,23.0,34.0,4.0,70.7
2026-07-17 15:23:37,70.7,70.7,70.8,70.8,70.9,71.0,70.8,0.08164965809208684,70.9,70.7,0.0,70.71334837639003,70.79241156008499,-0.0790631836949558,29.299999999999997,5.7726308271105395,0.0,585.9999999999999,-1.2247448714018059,63.0,85.8,15.0,23.0,37.0,4.0,70.7
2026-07-17 15:23:40,70.7,70.7,70.7,70.8,70.9,71.0,70.78,0.07888106377393368,70.9,70.7,0.0,70.70667418819502,70.77560945825135,-0.06893527005632905,29.299999999999997,5.576891208817112,0.0,585.9999999999999,-1.0141851056835565,63.7,85.8,15.0,23.0,40.0,4.0,70.7
2026-07-17 15:23:43,70.7,70.7,70.7,70.8,70.9,71.0,70.76,0.06992058987717062,70.9,70.7,0.0,70.70333709409752,70.76186228402383,-0.05852518992631417,29.299999999999997,4.943385704315963,0.0,585.9999999999999,-0.8581163303313684,63.9,85.8,15.0,23.0,43.0,4.0,70.6
2026-07-17 15:23:46,70.6,70.7,70.7,70.7,70.9,71.0,70.72999999999999,0.06749485577015901,70.8,70.6,-0.10000000000000853,70.65166854704876,70.73243277783769,-0.08076423078892958,29.400000000000006,4.765136817373226,-0.006749485577016477,588.0000000000001,-1.926072713492209,45.5,85.8,15.0,23.0,46.0,4.0,70.6
2026-07-17 15:23:49,70.6,70.6,70.7,70.7,70.8,71.0,70.71000000000001,0.07378647873642596,70.8,70.6,0.0,70.62583427352438,70.7083540909581,-0.08251981743372028,29.400000000000006,5.209325398791672,0.0,588.0000000000001,-1.4907880398107445,46.4,85.8,15.0,23.0,49.0,4.0,70.6
2026-07-17 15:23:52,70.6,70.6,70.7,70.7,70.8,71.0,70.69,0.07378647873640873,70.8,70.6,0.0,70.61291713676218,70.68865334714752,-0.07573621038534384,29.400000000000006,5.2093253987904555,0.0,588.0000000000001,-1.2197356689362435,44.6,85.8,15.0,23.0,52.0,4.0,70.6
2026-07-17 15:23:55,70.6,70.6,70.6,70.7,70.8,71.0,70.67,0.0674948557701025,70.8,70.6,0.0,70.60645856838109,70.67253455675706,-0.06607598837597095,29.400000000000006,4.765136817369236,0.0,588.0000000000001,-1.037116076496819,45.0,85.8,15.0,23.0,55.0,4.0,70.6
