ts,cpu_percent_lag_0,cpu_percent_lag_1,cpu_percent_lag_3,cpu_percent_lag_5,cpu_percent_lag_10,cpu_percent_lag_20,cpu_percent_roll_mean,cpu_percent_roll_std,cpu_percent_roll_max,cpu_percent_roll_min,cpu_percent_delta,cpu_percent_ewma_fast,cpu_percent_ewma_slow,cpu_percent_trend,cpu_percent_headroom,cpu_percent_level_x_vol,cpu_percent_slope_x_vol,cpu_percent_steps_to_saturation,cpu_percent_zscore_local,mem_percent_now,disk_percent_now,hour,minute,second_of_minute,dayofweek,__target__
2026-07-17 15:25:13,4.6,4.1,4.9,0.8,4.1,25.3,2.4099999999999997,2.164588747184766,4.9,0.0,0.5,4.3410894841089895,4.280743982185129,0.06034550192386057,95.4,9.957108237049923,1.082294373592383,190.8,1.0117395292053901,70.1,85.8,15.0,25.0,13.0,4.0,11.4
2026-07-17 15:25:16,11.4,4.6,4.5,4.1,0.2,11.6,3.53,3.4247627655057418,11.4,0.0,6.800000000000001,7.870544742054495,5.575154167242378,2.2953905748121173,88.6,39.04229552676546,23.288386805439046,13.02941176470588,2.2979693890819974,70.1,85.8,15.0,25.0,16.0,4.0,13.8
2026-07-17 15:25:19,13.8,11.4,4.1,4.9,0.7,11.3,4.840000000000001,4.544398261106762,13.8,0.0,2.4000000000000004,10.835272371027248,7.0705806822892185,3.7646916887380293,86.2,62.71269600327332,10.90655582665623,35.916666666666664,1.9716581789681973,70.1,85.8,15.0,25.0,19.0,4.0,12.7
2026-07-17 15:25:22,12.7,13.8,4.6,4.5,0.2,11.2,6.09,4.836079679519491,13.8,0.0,-1.1000000000000014,11.767636185513624,8.094111467327542,3.6735247181860817,87.3,61.41821192989753,-5.319687647471447,1745.9999999999998,1.3668095726364797,70.1,85.8,15.0,25.0,22.0,4.0,12.1
2026-07-17 15:25:25,12.1,12.7,11.4,4.1,0.0,11.9,7.3,4.653314231096808,13.8,0.8,-0.5999999999999996,11.933818092756812,8.822454836904353,3.11136325585246,87.9,56.30510219627138,-2.7919885386580834,1758.0,1.0315228591103802,70.1,85.8,15.0,25.0,25.0,4.0,13.2
2026-07-17 15:25:28,13.2,12.1,13.8,4.6,0.8,10.9,8.540000000000001,4.372438932931716,13.8,4.1,1.0999999999999996,12.566909046378406,9.618372139285379,2.948536907093027,86.8,57.71619391469864,4.809682826224885,78.90909090909093,1.065766742881752,70.1,85.8,15.0,25.0,28.0,4.0,27.2
2026-07-17 15:25:31,27.2,13.2,12.7,11.4,4.1,3.9,10.85,7.048916386382886,27.2,4.1,14.0,19.8834545231892,12.815031750324401,7.0684227728648,72.8,191.73052570961448,98.6848294093604,5.2,2.319505453573683,70.2,85.8,15.0,25.0,31.0,4.0,27.9
2026-07-17 15:25:34,27.9,27.2,12.1,13.8,4.9,4.0,13.15,8.49565248295304,27.9,4.1,0.6999999999999993,23.8917272615946,15.557753250265417,8.333974011329182,72.1,237.02870427438984,5.946956738067122,103.0000000000001,1.736182127222909,70.2,85.8,15.0,25.0,34.0,4.0,26.9
2026-07-17 15:25:37,26.9,27.9,13.2,12.7,4.5,4.3,15.39,8.904736567317897,27.9,4.1,-1.0,25.3958636307973,17.619979932035342,7.775883698761959,73.1,239.53741366085143,-8.904736567317897,1461.9999999999998,1.2925705227759259,70.2,85.8,15.0,25.0,37.0,4.0,26.6
2026-07-17 15:25:40,26.6,26.9,27.2,12.1,4.1,4.6,17.64,8.571425396824536,27.9,4.6,-0.29999999999999716,25.99793181539865,19.25271085348346,6.745220961915191,73.4,227.99991555553265,-2.5714276190473364,1468.0,1.0453337204940758,70.2,85.8,15.0,25.0,40.0,4.0,26.5
2026-07-17 15:25:43,26.5,26.6,27.9,13.2,4.6,4.1,19.830000000000002,7.613737584130112,27.9,11.4,-0.10000000000000142,26.248965907699326,20.570399789213738,5.678566118485588,73.5,201.76404597944796,-0.761373758413022,1470.0,0.8760480547560219,70.2,85.8,15.0,25.0,43.0,4.0,45.2
2026-07-17 15:25:46,45.2,26.5,26.9,27.2,11.4,0.2,23.21,10.435244766335334,45.2,12.1,18.700000000000003,35.724482953849666,25.048508918447602,10.675974035402064,54.8,471.67306343835713,195.13907713047078,2.930481283422459,2.1072816682691466,70.4,85.8,15.0,25.0,46.0,4.0,46.8
2026-07-17 15:25:49,46.8,45.2,26.6,27.9,13.8,0.7,26.51,12.197855002690535,46.8,12.1,1.5999999999999943,41.26224147692483,29.003325478729852,12.258915998194976,53.2,570.859614125917,19.516568004304787,33.25000000000012,1.6634072134424078,70.4,85.8,15.0,25.0,49.0,4.0,46.1
2026-07-17 15:25:52,46.1,46.8,26.5,26.9,12.7,0.2,29.85,12.563549569201127,46.8,12.1,-0.6999999999999957,43.68112073846241,32.111811755324425,11.569308983137987,53.9,579.179635140172,-8.794484698440735,1078.0,1.2934242755595131,70.2,85.8,15.0,25.0,52.0,4.0,45.4
2026-07-17 15:25:55,45.4,46.1,45.2,26.6,12.1,0.0,33.17999999999999,11.720997303035864,46.8,13.2,-0.7000000000000028,44.5405603692312,34.52784598162907,10.01271438760213,54.6,532.1332775578281,-8.204698112125138,1092.0,1.0425733991795132,70.2,85.8,15.0,25.0,55.0,4.0,40.7
2026-07-17 15:25:58,40.7,45.4,46.8,26.5,13.2,0.8,35.93,9.534504590054702,46.8,26.5,-4.699999999999996,42.6202801846156,35.650055803151055,6.970224381464547,59.3,388.0543368152264,-44.81217157325706,1185.9999999999998,0.5002881853951299,70.5,85.8,15.0,25.0,58.0,4.0,61.9
2026-07-17 15:26:01,61.9,40.7,46.1,45.2,27.2,4.1,39.4,11.999907407050038,61.9,26.5,21.199999999999996,52.2601400923078,40.422772929850865,11.837367162456935,38.1,742.7942684963973,254.39803702946077,1.797169811320755,1.875014467760066,70.4,85.8,15.0,26.0,1.0,4.0,62.6
2026-07-17 15:26:04,62.6,61.9,45.4,46.8,27.9,4.9,42.870000000000005,13.256281529901093,62.6,26.5,0.7000000000000028,57.4300700461539,44.45499603351434,12.97507401263956,37.4,829.8432237718084,9.279397070930804,53.42857142857121,1.4883510097078638,69.9,85.8,15.0,26.0,4.0,4.0,62.3
